Team,Player,NBA,G,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Pos,LaneAgilityTime,ShuttleRun,ThreeQuarterSprint,StandingVerticalLeap,MaxVerticalLeap,MaxBenchPress,BodyFat%,HandLength,HandWidth,HeightNoShoes,HeightShoes,StandingReach,Weight,Wingspan,PID,Pk,DraftTeam,RkYear,HeightShoesC,HeightNoShoesC,StandingReachC,WingspanC
vanderbilt,Dan Langhi,1,30,0,34.4,7.4,15.5,0.477,5.5,10.7,0.511,1.9,4.8,0.403,5.4,6.2,0.871,0,0,6,0.8,0.4,0.3,1.8,1.9,22.1,SF,10.85,0,3.24,31.0,34.5,12,0,,0,,0,,0,,langhda01,31,DAL,2000,0,,0,
arizona,Loren Woods,1,29,28,30.3,4.6,9.1,0.504,4.6,9,0.506,0,0.1,0.333,4,4.9,0.83,1.6,4.9,6.5,2.1,0.7,2.9,2,2.2,13.2,0,,0,,0,,0,,0,,0,,0,,0,woodslo01,46,MIN,2001,0,,0,
arizona,Richard Jefferson,1,35,34,27.5,4.2,8.8,0.479,3.3,6.2,0.535,0.9,2.6,0.344,2.1,3.1,0.655,1.7,3.8,5.4,2.7,0.8,0.8,3,2.8,11.3,SF,11.19,0,3.15,33.0,38.5,14,0,,0,,0,,0,,jefferi01,13,HOU,2001,0,,0,
arizona,Gilbert Arenas,1,36,33,29,5.8,12.1,0.479,3.9,7.4,0.519,1.9,4.6,0.416,2.7,3.7,0.724,0.8,2.8,3.6,2.3,1.8,0.2,2.8,2.3,16.2,SG,0,0,3.25,31.5,36.0,12,0,,0,,0,,0,,arenagi01,31,GSW,2001,0,,0,
arkansas,Joe Johnson,1,30,27,29.1,5.4,11.5,0.468,4.2,8.9,0.476,1.2,2.6,0.443,2.3,3,0.747,2.2,4.2,6.4,2.6,1.4,0.4,2.3,1.5,14.2,0,,0,,0,,0,,0,,0,,0,,0,johnsjo02,10,BOS,2001,0,,0,
auburn,Jamison Brewer,1,32,32,32.3,3,6.5,0.469,2.7,5.1,0.534,0.3,1.4,0.227,2,3.8,0.529,2.8,4.4,7.2,5.8,1.5,0.1,2.9,1.5,8.4,PG,9.65,0,3.15,26.0,32.5,12,0,,0,,0,,0,,breweja01,41,IND,2001,0,,0,
california,Sean Lampley,1,31,31,34.6,6.7,13.4,0.502,6.5,12.4,0.527,0.2,1.1,0.212,5.8,7.9,0.738,1.5,5.7,7.2,3.3,0.9,0.5,3.6,2.5,19.5,SF,11.06,0,3.12,36.0,40.0,12,0,,0,,0,,0,,lamplse01,45,CHI,2001,0,,0,
depaul,Bobby Simmons,1,29,28,33.8,5.1,11.5,0.447,3,5.8,0.524,2.1,5.7,0.37,4.3,5.3,0.8,2.6,5.9,8.6,2.5,0.8,0.1,2.1,3.3,16.7,SF,11.69,0,3.41,27.5,34.0,12,0,,0,,0,,0,,simmobo01,42,SEA,2001,0,,0,
depaul,Steven Hunter,1,30,27,26.9,4.6,7.8,0.592,4.6,7.8,0.592,0,0,0,2.2,4.2,0.536,2.2,3.4,5.6,0.5,0.2,2.4,1.5,2.3,11.4,0,,0,,0,,0,,0,,0,,0,,0,huntest01,15,ORL,2001,0,,0,
duke,Shane Battier,1,39,39,34.9,6.4,13.7,0.471,3.3,6.1,0.536,3.2,7.6,0.419,3.9,4.9,0.796,2.4,4.9,7.3,1.8,2.1,2.3,1.5,2.1,19.9,0,,0,,0,,0,,0,,0,,0,,0,battish01,6,MEM,2001,0,,0,
georgetown,Ruben Boumtje-Boumtje,1,33,33,21.6,3.2,6.2,0.517,3.2,6.2,0.517,0,0,0,2.7,3.8,0.718,2.6,4.2,6.8,0.9,0.7,2.4,2.2,2.5,9.1,C,11.84,0,3.33,26.5,31.0,6,0,,0,,0,,0,,boumtru01,50,POR,2001,0,,0,
georgia-tech,Alvin Jones,1,30,30,29.2,4.5,9.3,0.482,4.5,9.2,0.486,0,0.1,0,4.4,7.4,0.596,2.4,8,10.4,1.5,0.9,3.4,3,3.2,13.4,0,,0,,0,,0,,0,,0,,0,,0,jonesal01,57,PHI,2001,0,,0,
